ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,RAW_MATERIAL_COST,OPERATING_EXPENSES,PURCHASE_CATEGORY
10225,21,127.83,6,2684.43,2019-02-22,850,Shipped,Classic Cars,115,S12_4675,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Small,3150.39,1721.5,Salaries
10239,21,93.28,5,1958.88,2019-04-12,802,Shipped,Classic Cars,115,S12_4675,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Small,3341.76,1975.77,Utilities
10253,41,119.77,10,4910.57,2019-06-01,753,Cancelled,Classic Cars,115,S12_4675,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Medium,4876.17,989.42,Logistics
10266,40,111.71,11,4468.4,2019-07-06,719,Shipped,Classic Cars,115,S12_4675,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium,3950.42,1736.74,Marketing
10277,28,111.71,1,3127.88,2019-08-04,691,Shipped,Classic Cars,115,S12_4675,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium,2423.1,1366.18,Utilities
10287,23,116.31,9,2675.13,2019-08-30,666,Shipped,Classic Cars,115,S12_4675,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Small,2101.59,1923.39,Utilities
10300,23,122.07,2,2807.61,2018-10-04,997,Shipped,Classic Cars,115,S12_4675,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,Keitel,Roland,Small,3491.92,436.39,Logistics
10310,25,100.19,7,2504.75,2019-10-16,621,Shipped,Classic Cars,115,S12_4675,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Small,1679.77,1450.45,Raw Materials
10321,24,124.37,15,2984.88,2019-11-04,603,Shipped,Classic Cars,115,S12_4675,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,4831.46,1198.59,Utilities
10329,39,64.74,15,2524.86,2019-11-15,593,Shipped,Classic Cars,115,S12_4675,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small,4179.44,1716.13,Salaries
10341,55,75.2,7,4136.0,2019-11-24,585,Shipped,Classic Cars,115,S12_4675,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,2530.82,1735.02,Marketing
10363,46,88.45,6,4068.7,2020-01-06,543,Shipped,Classic Cars,115,S12_4675,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Medium,1286.87,1146.19,Utilities
10377,50,103.64,1,5182.0,2020-02-09,510,Shipped,Classic Cars,115,S12_4675,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,4353.87,1143.91,Marketing
10389,47,111.57,8,5243.79,2020-03-03,488,Shipped,Classic Cars,115,S12_4675,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,2885.46,1444.67,Utilities
10405,97,93.28,5,9048.16,2020-04-14,447,Shipped,Classic Cars,115,S12_4675,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France,Citeaux,Frederique,Large,4237.82,1051.68,Marketing
10419,32,119.77,10,3832.64,2020-05-17,415,Shipped,Classic Cars,115,S12_4675,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,1405.57,1920.99,Salaries
10103,35,112.0,10,3920.0,2018-01-29,1255,Shipped,Trucks and Buses,116,S18_1097,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,2400.62,1315.4,Salaries
10113,49,100.34,4,4916.66,2018-03-26,1200,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,3005.24,200.0,Raw Materials
10126,38,101.5,10,3857.0,2018-05-28,1138,Shipped,Trucks and Buses,116,S18_1097,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Medium,3046.98,1312.59,Logistics
10140,32,130.67,10,4181.44,2018-07-24,1082,Shipped,Trucks and Buses,116,S18_1097,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,2549.93,980.73,Raw Materials
10150,34,136.5,7,4641.0,2018-09-19,1026,Shipped,Trucks and Buses,116,S18_1097,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium,3622.85,684.36,Salaries
10164,36,99.17,8,3570.12,2018-10-21,995,Resolved,Trucks and Buses,116,S18_1097,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Medium,1932.38,881.29,Salaries
10174,48,93.34,3,4480.32,2018-11-06,980,Shipped,Trucks and Buses,116,S18_1097,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,2857.62,1554.7,Logistics
10183,21,96.84,7,2033.64,2018-11-13,974,Shipped,Trucks and Buses,116,S18_1097,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small,3120.3,2164.32,Salaries
10194,21,93.34,10,1960.14,2018-11-25,963,Shipped,Trucks and Buses,116,S18_1097,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small,3514.44,1656.59,Logistics
10206,34,116.67,5,3966.78,2018-12-05,954,Shipped,Trucks and Buses,116,S18_1097,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Medium,3711.61,1196.75,Salaries
10215,46,112.0,2,5152.0,2019-01-29,900,Shipped,Trucks and Buses,116,S18_1097,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Medium,1875.36,1727.95,Marketing
10228,32,105.0,1,3360.0,2019-03-10,861,Shipped,Trucks and Buses,116,S18_1097,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Medium,1465.89,1270.45,Logistics
10245,29,119.0,8,3451.0,2019-05-04,807,Shipped,Trucks and Buses,116,S18_1097,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium,4277.68,1152.7,Marketing
10258,41,133.0,5,5453.0,2019-06-15,766,Shipped,Trucks and Buses,116,S18_1097,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Medium,3332.31,922.82,Salaries
10270,43,96.84,8,4164.12,2019-07-19,733,Shipped,Trucks and Buses,116,S18_1097,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,2251.51,624.09,Salaries
10280,24,116.67,1,2800.08,2019-08-17,705,Shipped,Trucks and Buses,116,S18_1097,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Small,4551.15,1305.04,Salaries
10291,41,114.34,10,4687.94,2019-09-08,684,Shipped,Trucks and Buses,116,S18_1097,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,3115.67,1579.03,Raw Materials
10304,46,98.0,5,4508.0,2019-10-11,652,Shipped,Trucks and Buses,116,S18_1097,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Medium,4179.3,1451.69,Marketing
10312,32,130.67,2,4181.44,2019-10-21,643,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,3067.52,1292.02,Logistics
10322,22,102.32,10,2251.04,2019-11-04,630,Shipped,Trucks and Buses,116,S18_1097,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Small,5060.75,1027.13,Salaries
10347,42,49.6,5,2083.2,2019-11-29,606,Shipped,Trucks and Buses,116,S18_1097,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,4755.34,1804.12,Utilities
10357,39,98.0,1,3822.0,2019-12-10,596,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,2751.04,841.43,Utilities
10370,27,144.87,1,3911.49,2020-01-20,556,Shipped,Trucks and Buses,116,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium,3971.57,1888.01,Utilities
10391,29,85.1,10,2467.9,2020-03-09,508,Shipped,Trucks and Buses,116,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,3645.38,998.89,Marketing
10411,27,119.0,8,3213.0,2020-05-01,456,Shipped,Trucks and Buses,116,S18_1097,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,4368.63,1123.78,Utilities
10424,54,133.0,5,7182.0,2020-05-31,427,In Process,Trucks and Buses,116,S18_1097,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,2035.08,766.61,Raw Materials
10109,26,168.43,4,4379.18,2018-03-10,1241,Shipped,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Medium,3686.05,1249.3,Raw Materials
10122,34,147.2,2,5004.8,2018-05-08,1183,Shipped,Classic Cars,141,S18_1129,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Medium,4058.42,1987.66,Raw Materials
10136,25,145.79,2,3644.75,2018-07-04,1127,Shipped,Classic Cars,141,S18_1129,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium,1241.26,1757.81,Raw Materials
10148,23,117.48,13,2702.04,2018-09-11,1059,Shipped,Classic Cars,141,S18_1129,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,1816.74,1989.21,Marketing
10161,28,134.46,12,3764.88,2018-10-17,1024,Shipped,Classic Cars,141,S18_1129,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Medium,960.77,1761.07,Marketing
10171,35,128.8,2,4508.0,2018-11-05,1006,Shipped,Classic Cars,141,S18_1129,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,2730.59,948.17,Salaries
10181,44,123.14,6,5418.16,2018-11-12,1000,Shipped,Classic Cars,141,S18_1129,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,3717.54,1334.61,Salaries
10192,22,150.03,11,3300.66,2018-11-20,993,Shipped,Classic Cars,141,S18_1129,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium,4502.36,1109.9,Raw Materials
10204,42,147.2,17,6182.4,2018-12-02,982,Shipped,Classic Cars,141,S18_1129,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium,3074.09,2165.29,Salaries
10212,29,144.37,10,4186.73,2019-01-16,938,Shipped,Classic Cars,141,S18_1129,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,4628.62,901.61,Marketing
10225,32,141.54,1,4529.28,2019-02-22,902,Shipped,Classic Cars,141,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Medium,1619.9,1946.85,Marketing
10240,41,137.29,3,5628.89,2019-04-13,853,Shipped,Classic Cars,141,S18_1129,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,1296.62,1946.48,Salaries
10253,26,117.48,5,3054.48,2019-06-01,805,Cancelled,Classic Cars,141,S18_1129,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Medium,2944.45,2414.81,Marketing
10266,21,120.31,6,2526.51,2019-07-06,771,Shipped,Classic Cars,141,S18_1129,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small,3384.07,1295.16,Utilities
10278,34,137.29,6,4667.86,2019-08-06,741,Shipped,Classic Cars,141,S18_1129,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Medium,2967.31,1856.16,Salaries
10287,41,158.52,4,6499.32,2019-08-30,718,Shipped,Classic Cars,141,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Medium,932.56,2640.83,Utilities
10301,37,159.94,8,5917.78,2018-10-05,1048,Shipped,Classic Cars,141,S18_1129,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway,Klaeboe,Jan,Medium,2910.88,1191.18,Raw Materials
10310,37,168.43,2,6231.91,2019-10-16,673,Shipped,Classic Cars,141,S18_1129,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Medium,1695.53,732.48,Logistics
10321,41,141.54,10,5803.14,2019-11-04,655,Shipped,Classic Cars,141,S18_1129,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium,3669.67,559.99,Marketing
10331,46,139.87,6,6434.02,2019-11-17,643,Shipped,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Medium,3366.6,1856.36,Utilities
10342,40,161.36,2,6454.4,2019-11-24,637,Shipped,Classic Cars,141,S18_1129,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,2060.12,558.42,Marketing
10356,43,97.6,8,4196.8,2019-12-09,623,Shipped,Classic Cars,141,S18_1129,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,2486.13,1313.84,Marketing
10365,30,87.06,1,2611.8,2020-01-07,595,Shipped,Classic Cars,141,S18_1129,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Small,1940.79,1718.66,Salaries
10377,35,168.43,2,5895.05,2020-02-09,563,Shipped,Classic Cars,141,S18_1129,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,2937.32,1592.59,Raw Materials
10390,36,93.77,14,3375.72,2020-03-04,540,Shipped,Classic Cars,141,S18_1129,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,3955.14,1712.72,Marketing
10406,61,137.29,3,8374.69,2020-04-15,499,Disputed,Classic Cars,141,S18_1129,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large,2014.27,1611.14,Marketing
10419,38,117.48,5,4464.24,2020-05-17,468,Shipped,Classic Cars,141,S18_1129,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,3504.05,2139.43,Utilities
10102,39,123.29,2,4808.31,2018-01-10,1327,Shipped,Vintage Cars,102,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Medium,2469.74,1023.84,Logistics
10125,32,101.71,1,3254.72,2018-05-21,1197,Shipped,Vintage Cars,102,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,2207.13,1161.5,Salaries
10139,31,102.74,7,3184.94,2018-07-16,1142,Shipped,Vintage Cars,102,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,2892.97,1113.67,Raw Materials
10149,50,118.15,4,5907.5,2018-09-12,1085,Shipped,Vintage Cars,102,S18_1342,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA,Taylor,Sue,Medium,1964.76,1915.1,Raw Materials
10173,43,117.12,6,5036.16,2018-11-05,1032,Shipped,Vintage Cars,102,S18_1342,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,Rovelli,Giovanni,Medium,2446.35,1950.2,Logistics
10182,25,87.33,3,2183.25,2018-11-12,1026,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,1802.12,1725.61,Raw Materials
10193,28,110.96,7,3106.88,2018-11-21,1018,Shipped,Vintage Cars,102,S18_1342,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Medium,4964.73,2091.75,Marketing
10205,36,103.77,2,3735.72,2018-12-03,1007,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,3035.26,910.98,Logistics
10215,27,89.38,10,2413.26,2019-01-29,951,Shipped,Vintage Cars,102,S18_1342,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Small,2300.27,2333.61,Raw Materials
10227,25,118.15,3,2953.75,2019-03-02,920,Shipped,Vintage Cars,102,S18_1342,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small,3213.98,2261.62,Salaries
10244,40,117.12,7,4684.8,2019-04-29,863,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,2887.67,1867.81,Marketing
10256,34,95.55,2,3248.7,2019-06-08,824,Shipped,Vintage Cars,102,S18_1342,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium,2779.03,2390.9,Salaries
10280,50,104.79,9,5239.5,2019-08-17,755,Shipped,Vintage Cars,102,S18_1342,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Medium,3614.17,671.69,Logistics
10289,38,120.21,2,4567.98,2019-09-03,739,Shipped,Vintage Cars,102,S18_1342,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,3757.51,1237.78,Utilities
10304,37,95.55,13,3535.35,2019-10-11,702,Shipped,Vintage Cars,102,S18_1342,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Medium,2469.5,1132.35,Salaries
10312,43,89.38,10,3843.34,2019-10-21,693,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,2424.18,1860.74,Marketing
10322,43,86.3,14,3710.9,2019-11-04,680,Shipped,Vintage Cars,102,S18_1342,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium,2724.95,974.93,Salaries
10332,46,95.13,15,4375.98,2019-11-17,668,Shipped,Vintage Cars,102,S18_1342,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium,698.08,1878.75,Salaries
10346,42,36.11,3,1516.62,2019-11-29,657,Shipped,Vintage Cars,102,S18_1342,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Small,1484.81,2185.27,Logistics
10356,50,50.18,9,2509.0,2019-12-09,648,Shipped,Vintage Cars,102,S18_1342,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small,4366.87,1847.6,Raw Materials
10369,44,210.01,8,9240.44,2020-01-20,607,Shipped,Vintage Cars,102,S18_1342,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Large,4644.97,1641.88,Raw Materials
10380,27,93.16,13,2515.32,2020-02-16,581,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,2750.96,1006.06,Raw Materials
10391,35,158.54,2,5548.9,2020-03-09,560,Shipped,Vintage Cars,102,S18_1342,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium,3576.56,1076.57,Raw Materials
10422,51,95.55,2,4873.05,2020-05-30,479,In Process,Vintage Cars,102,S18_1342,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,3311.25,2124.81,Utilities
10102,41,50.14,1,2055.74,2018-01-10,1351,Shipped,Vintage Cars,53,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small,6078.88,1889.67,Utilities
10126,42,54.99,17,2309.58,2018-05-28,1214,Shipped,Vintage Cars,53,S18_1367,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Small,4119.57,1480.49,Logistics
10139,49,43.13,6,2113.37,2018-07-16,1166,Shipped,Vintage Cars,53,S18_1367,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,2872.08,1291.05,Logistics
10149,30,58.22,3,1746.6,2018-09-12,1109,Shipped,Vintage Cars,53,S18_1367,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA,Taylor,Sue,Small,2044.46,487.1,Utilities
10173,48,44.21,5,2122.08,2018-11-05,1056,Shipped,Vintage Cars,53,S18_1367,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy,Rovelli,Giovanni,Small,1393.55,964.57,Marketing
10182,32,54.45,2,1742.4,2018-11-12,1050,Shipped,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,3203.46,2455.71,Raw Materials
10193,46,53.37,6,2455.02,2018-11-21,1042,Shipped,Vintage Cars,53,S18_1367,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small,2243.65,859.77,Salaries
10205,48,63.61,1,3053.28,2018-12-03,1031,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,1577.75,1594.74,Marketing
10215,33,43.13,9,1423.29,2019-01-29,975,Shipped,Vintage Cars,53,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Small,2353.43,2003.72,Utilities
10227,31,48.52,2,1504.12,2019-03-02,944,Shipped,Vintage Cars,53,S18_1367,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small,1918.45,872.54,Raw Materials
10244,20,58.22,6,1164.4,2019-04-29,887,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small,4687.14,1592.36,Logistics
10256,29,51.75,1,1500.75,2019-06-08,848,Shipped,Vintage Cars,53,S18_1367,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Small,3881.64,1968.96,Logistics
10280,27,57.68,8,1557.36,2019-08-17,779,Shipped,Vintage Cars,53,S18_1367,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Small,2992.03,1506.25,Marketing
10289,24,56.07,1,1345.68,2019-09-03,763,Shipped,Vintage Cars,53,S18_1367,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Small,4479.94,2934.2,Marketing
10304,37,48.52,12,1795.24,2019-10-11,726,Shipped,Vintage Cars,53,S18_1367,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Small,3077.37,665.7,Raw Materials
10312,25,44.21,9,1105.25,2019-10-21,717,Shipped,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small,2138.72,2029.36,Logistics
10322,41,57.68,5,2364.88,2019-11-04,704,Shipped,Vintage Cars,53,S18_1367,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Small,4523.12,1413.6,Marketing
10332,27,89.89,16,2427.03,2019-11-17,692,Shipped,Vintage Cars,53,S18_1367,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small,3538.91,1885.96,Utilities
10347,21,58.95,7,1237.95,2019-11-29,681,Shipped,Vintage Cars,53,S18_1367,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,1962.75,1720.65,Raw Materials
10356,22,72.41,6,1593.02,2019-12-09,672,Shipped,Vintage Cars,53,S18_1367,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small,2809.66,1133.42,Marketing
10369,32,98.63,7,3156.16,2020-01-20,631,Shipped,Vintage Cars,53,S18_1367,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Medium,2124.38,1614.5,Utilities
10391,42,119.0,3,4998.0,2020-03-09,583,Shipped,Vintage Cars,53,S18_1367,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium,1617.2,571.05,Marketing
